"id","name","parent","type","size"
0,"test.txt","test","file","0 b"
1,"access_file.pickle",".","file","35 b"
2,"dir_info.csv",".","file","858 b"
3,"dir_info.json",".","file","2782 b"
4,"dir_info.pickle",".","file","922 b"
5,"json_in.json",".","file","112 b"
6,"json_in.pickle",".","file","79 b"
7,"new_user.csv",".","file","62 b"
8,"new_user.json",".","file","75 b"
9,"new_user.pickle",".","file","76 b"
10,"out.csv",".","file","26 b"
11,"primerscsv.py",".","file","700 b"
12,"task1.py",".","file","1051 b"
13,"task2.py",".","file","2334 b"
14,"task3.py",".","file","948 b"
15,"task4.py",".","file","1550 b"
16,"task5.py",".","file","800 b"
17,"task6.py",".","file","1211 b"
18,"task7.py",".","file","847 b"
19,"task8.py",".","file","2522 b"
20,"task9.py",".","file","233 b"
21,"unititled.txt",".","file","55 b"
