"id","name","parent","type","size"
1,"task8.cpython-310.pyc","__pycache__","file","2405 b"
2,"access_file.pickle",".","file","35 b"
3,"dir_info.csv",".","file","858 b"
4,"dir_info.json",".","file","2905 b"
5,"dir_info.pickle",".","file","892 b"
6,"dir_info_from_pack.csv",".","file","954 b"
7,"dir_info_from_pack.json",".","file","3056 b"
8,"dir_info_from_pack.pickle",".","file","1024 b"
9,"json_in.json",".","file","112 b"
10,"json_in.pickle",".","file","79 b"
11,"main.py",".","file","535 b"
12,"new_user.csv",".","file","62 b"
13,"new_user.json",".","file","75 b"
14,"new_user.pickle",".","file","76 b"
15,"out.csv",".","file","26 b"
16,"primerscsv.py",".","file","700 b"
17,"task1.py",".","file","1051 b"
18,"task2.py",".","file","2334 b"
19,"task3.py",".","file","948 b"
20,"task4.py",".","file","1550 b"
21,"task5.py",".","file","800 b"
22,"task6.py",".","file","1211 b"
23,"task7.py",".","file","847 b"
24,"task8.py",".","file","2872 b"
25,"test",".","folder","63 b"
26,"unititled.txt",".","file","55 b"
27,"__pycache__",".","folder","2405 b"
